text,toxic
"Цитую викладача: ""Calling Native Americans ""redskins"" is the same as calling black people ""niggers"".",0
Мій нічний зайчик- мордочку вишию вже вранці.,0
"Заходжу в під'їзд, а там виходять дві жіночки, які наспівують:""Свято наближається, свято наближається"".",0
Подарувати сертифікат на індивідуальний пошив трусів,0
"Вхопила б за чуба, відтягла та й усе.",0
"Все,що пам'ятаю, що Том Круз саєнтолог))",0
Я на підлозі люблю сидіти.,0
погода - блаженство)) (@ Стрийський парк w/ 4 others) http://4,0
"Гаразд, вмирала би, з'їла би снікерс.",0
"З кажним роком різать свині стає трудніше, бо вони кажись еволюціонуют, бо стали якісь розумнішими!",0
"Прийшов і каже: простіть мене, я ж нічого не зламав, чого ви кричите?",0
"бо не люблю ніякий сир, окрім звичайного)",0
"Ото п'ятно на фото то ахрєнєнно прекрасний місяць  Уявіть, ніби і нв фото гарно",0
Тому я пхав їх в різні полиці та в простір між подушками дивану.,0
"люблю свою роботу, ну принаймні одну",0
Тут також діяли Спілка виробників сирих шкір та Спілка ювелірів і годинникарів.,0
Ретвітність полум'яного заклику при 911к читачів феноминальна.,0
"Мій улюблений київський гурт ""Обійми дощу"" випускає новий альбом скоро.",0
"Д: Знаю я шо вам треба, не дам я тобі горілки.",0
От ця дєвачька отримала мендаль.,0
ми вже давно перейшли і не маємо проблем :),0
Стів докірливо дивиться зі стіни сервісного центру...,0
Знову включити друзів і прибрати срач на кухні чи dirty dancing 2 і танцювати?,0
Стала їх знімати - зачепилась ше й рукавицею.,0
"Кожен геній має своїх посередніх інтерпретаторів, які тлумачать його в міру своєї зіпсованості (с)",0
"ні) просто от є в тебе улюблені, а потім вони проттраються між ногами від постійного носіння і всьо.",0
В пориві любові нафоловив нових людей.,0
"Я ж казала, що то профі!",0
мене надихають чужі успіхі (інколи у формі легкої професійної заздрості) та дружній тролінг з мотивуючими підйобами :),0
"Я вибрила потилицю, скроню, зробила септум, змінила житло, дві роботи, кинула палити,",0
"Виганяти з пари за те, що вона озлоблена на них, а ти - ні, - явний перебір...8)",0
те саме можна вже сказати і про ХР (або слабке залізо або не знають як поставити щось сучасніше).,0
"Знайшла купу російських документів, кілька білоруських і навіть один казахський.",0
"Не беру участь, не люблю слухати.",0
"то шось ніфіга не смішно, як я міг переплутати 7 з 23??",0
"Думав затаїти, але взяв і все виклав.",0
"Кажеш ""ну все"" - а вони мовчки блокують вихід і чекають ще.",0
"Ха, а начальника зьерехав мені, що ніхто не йде..",0
Ждем силку на пабліку ми патріоти України,0
Двоє дівчат близнючок по 11 років.,0
"Мені прийшли 1листівка,1браслет,1пара сережок=) і я відправила 2листи =)",0
"з якими я найбільше дружила,була найпристосованіша до життя,а решта ще в облаках літали.ти мудра,образована,обдарована,добра,чесна,",0
"Здається, я дожила до того віку, коли мене збуджує любов і турбота.",0
"Що я тут роблю, нагадайте мені?",0
Ну я так якось підрахував коли ти дістанешся до національного телебачення(Точніше ваша група),0
"Мій новенький планер у відділенні Нової пошти, а я тут - на роботі.",0
Тут відьмацька надчутливість вже навряд чи допоможе.,0
Сучасна франц.соціологія зросла на вивченні кіно і ТБ.,0
"залежить. от якщо кілька подруг готують, то нормас. проблеми в хазяйках різних поколінь",0
Ні так ні - буду пити й розводити ротвейлерів.,0
"Я думала,нічо не відбувається,бо її закрили.",0
"Та по факту, все що виділяє тебе добровільно з прийнятого натовпу робить неформалом)",0
"Особливо, коли в тебе другий день шалена слабкість.",0
Як довго ти дозволятимеш собі залежати від когось?,0
"Облазила центр, навіть в гей-барі було не ок.",0
Він хоч на засідання суду ходить.,0
Прекрасний ранок з улюбленою кавою на улюбленому балконі  Життя прекрасне!,0
заюзала у  афігєнний салатовий лак. настрій одразу вгору пішов),0
Це завжди дуже хвилююче - робити перший запис в новому блокноті.,0
"люблю ті смс, які починаються на ""о 6 в дзизі""",0
"Не люблю домашніх посиденьок ""всією родиною"".",0
"Я вважаю, що так писати - тупо неповага до читача.",0
"Українці загинули у важкодоступному місці, тому їх довго не могли знайти.",0
Посвітив твітером з екрану телесика в темній залі серед десятків інших вогників на ліричній композиції Ілюзій..,0
"Тягне відповісти щось між Ай віш ай куд і Сорі,  хев терібл муд.",0
і зроблять з нього підземний торговий центр,0
Чому Джек не здох?!Пару раз йокнуло.,0
"Не знаю із-за чого, но настроєнія якесь хріноватіньке((",0
- О О О  -Яблучько одно)0)0,0
"Я не говорю з людьми, які висипаються.",0
"Слухаю ""Думаю про тебе"" в навушниках, лежу обоиччям в подушку.",0
"Я думала, що можна обмежитися тупарилими фотками в інста і снепчаті.",0
Пасажири трамвая вмовили водія їхати НЕ ТУДИ.,0
"Роблю зарядку, танцюю . . .і все одно дивлюсь на екран  і сплю :Zzzz",0
"Стою мию посуд під те, як Редкліф читає репчік:DD Мені пороблено:ззз",0
"Блін блін блін Саша, Аня, пам'ятаєте?",0
"Сьогодні пообіцяла зробити прес не 150,а 250.",0
"А під ""Пора домой"" дуже круто бігається,особливо коли її тобі наспівує твій тренер)",0
Їй якась добра душа підказала засіб від усіх хвороб - ...,0
"Повіяло теплом з-за кордону, а одже неодмінно летіти.Не обіцяй,навіщо?",0
Чудову і прекрасну  треба сьогодні вітати з ДН!,0
Бо я макдо люблю тут найбільше серед усіх!!!,0
"Мало того, що стєпуха якогось хера не повишена прийшла, так ше й на 100грн менша, ніж звичайна(",0
"У моїй сумці книга Михайла Пантича про любов, яблуко і фляга з віскі.",0
"Плох той твіттерянин, який не мріє стати (десяти)тисячником.",0
"головне не обманювати пацієнта, але і не пробуджувати страх.",0
"моє улюблене виправдання: ""це було на демотиваторі вконтактє"".",0
"Файна книжка, хоть шкляра й не дуже люблю",0
"Євріт-це не запалиння єврея, це їхня мова.",0
Це ти ще інші його варіації не куштувала.,0
"преміум акаунт грамарлі каже мені шо ""linguistic problems"" це unusual word pair ну рєбят...",0
"Неймовірний трепет всередині, коли він називає мене ""маленька""...",0
"Який колір - рожевий, фіолет, синій, білий, сірий?",0
"Щоб спати під теплою ковдрочкою, угу",0
"ну про хамство ти ніц не казала, ти казала що вони недостатньо швидко (на твою думку) роблять свою роботу",0
"Справжнє усвідомлення того, що ти буха, настає тоді, коли ти розумієш, що замовила костюмчик покоївки та батіг.",0
"Боже, спасибі, що створив небо і землю, і джаз.",0
"  Мене теж часом тяне написати про себе не ""я"", а ""Лесюня"".",0
"Не кИдаю тебе у стіну, не викидАю через вікна геть #лв",0
Найближчі 2 години я буду милий і привітний),0
"просто сьогодні хороший день, щоб нагадати собі, що і за що я люблю",0
а я вам казала що люблю танцювати? я дуууууже люблю танцювати :),0
Не відправляйте мені листівки на стару адресу у Львові.,0
Можна шутити типу 45-45 баба ягодка опять?,0
"І проблема навіть не в прищах, їх майже немає.",0
"Шакопов Олег, сподіваюся тобі її повернуть.",0
"Пів року намагаюсь той некролог знайти, бо всі про нього дуже захоплено розказують.",0
Він чи в першій школі чи в гімназії вчився.,0
"блін, знав би на піцу ше зайшов",0
"На роботі мене накрило, і розболілася голова так, що я ледь не здох.",0
"Трошки ""позитиву"" вам у стрічку.",0
"І типу кажуть, шо все ок, але блін...",0
Ну а що роблять на вечірках ти знаєш),0
блін:( а так би круто було!,0
"В результаті зняв магнітик, а магніт лишився на дошці=/",0
"просто рахуй, що я - твоя серветочка, якій можна поплакати і понити, я завжди вислухаю с:",0
Та кому у мареві дорожнім Я свою тривогу привезу?,0
"#успєх До речі, #раджу усім, хто #ТвіттерБігає фолловити цей мега-аккаунт #ff_ua #ff",0
Вангую таку тему у найближчі дні.,0
"Трохи фігово, але все ж щось)",0
" КОСТИКУ, БУДУ У ЛЬВОВІ ЗАВТРА З 12:00 ДО 20:00 (приблизно) мімімі ",0
Ти в якому варіанті більш любиш?,0
"І ніби й працюється,але якось дивно - на одній роботі робляться завдання з іншої",0
"Ем в дофіга універах, де повний безпрєдєл",0
Ой в тві маніхейством попахує.,0
"У мене є Віттонівська сумка - справжня, не підробка.",0
Правду серед брехні так важко побачити.,0
Чекін на відкритті виставки Юрій Змієборець і святі воїни,0
"Кароч, ви не повірите, але я тут рахуюся за хіпстера.",0
Планую просто почати плакати в примірочних через то шо купа класних речей на мене тупо велика.,0
"Вшарюю, що в неї є ті, хто їй більше подобається.",0
Буває така хвороба: запалення втрачених можливостей?,0
"Прочитати пвд від надзвичайно близької людини, з якою дуже давно не спілкувався.",0
"Він: Привіт, маленька) Теж ти: Сонечко моє",0
яблучно-горіховий штрудель від Журби - кращі ліки від недільної хандри,0
Мої улюблені чоловічі - Carolina Herrera 212 Men,0
"фішка не лише в тілі, тобто у фото, публічне листування то теж не особливо норма,ну в окремих темах звичайно",0
"Сподіваюся, хтось викраде мене та вкладе спати.",0
"я люблю чай,але кава це кава,її чай не замінить))",0
"З Каламойським опускати б країну на гроші, бьіть патрівотом!",0
"RT  Папая, кая і маракуя #np the Вйо - Їдемо в карпати",0
Хоч найбільш люблю сухе чилійське шардоне.,0
У всіх так і так зажди - відповідають  мені оточуючі...,0
"Не встигаю банити читачів, які вскриваються під ""марш"" Сцакашвілі.",0
"ну в мене у руках журнал обліку поточної роботи викладача, суворо аббревіатурка звучить, хоча задатки уже є)))",0
"Ну, і окрема історія з прокладками.",0
Я не можу не заінстаграмити цю малючку-з-книжки-носова.,0
"Я один не шарю, якого хєра щотижня в світових трендах твіттера - Джастін Бібер?",0
"Нє, карочє, блін, ти не понімаєш, куда, цей во.",0
"та, з роками не розумнішаєш ні разу.  далі наступаєш на ті самі граблі, далі відрізаєш сама собі чілку)))",0
"Якшо взяла трубку - у вас праблєми, гаспада.",0
Та я вже біблію шукати почала,0
півдня в поліклініці - ці люди в білому мене вже трохи задовбали =(,0
Океан Ельзи - Я до тебе #playingnow Одна з найулюбленіших!,0
"Як гарно, що вони такi! - теж казкове вiдчуття.",0
"Мене всерйоз заграли люди, які сидять на диванах перед компами і все критикують, бо все, блін, знають.",0
"блін, чого ніхто не сказав мені цього на початку травня, коли я зв'язалась з одним",0
#Одеса вулиця підписана трьома назвами: з імперським гербом - Новорибна з радянським - Чижикова біля тризуба - сучасна назва,0
Кароч дуже ок дивитись засідання київради хоча б один раз.,0
Вдома з їжі тільки морква і мед.,0
Я там на фейсбуці щось опублікувала;),0
Щось в мене забагато планів на найближчі 30 днів,0
"Вiн ворог був, менi його не шкода.	0
старі добрі розваги, написати фігню, а потім шукати який саме з кусків твого коду робить фігню))) Я сам такий))))	0
охохо, багато таких))) а стільки в мене блоків1 ого-го!)))	0
в селі благодійна барахолка на користь біженців - люди серед іншого винесли шапку-будьоновку справжню, з Києва"".",0
"Тобто кінцевими бенефіціарами ""російського сліду"" явно не є ці підлітки.",0
В тій компанії де мене рахують за ніщо.,0
"одного разу вона приходить до злобного блізнєца, а там муж її. і кароч вони тіпа вбити її обоє хотіли.",0
"Ну, хоч би спитали той рецепт!",0
Я сказала про людей з красивими тілами.,0
Чому б і не поспати на роботі.,0
"До речі, дуже неприємне відчуття, коли надщерблюєш зуб.",0
А може і м’яса їсти не треба?,0
"Вночі воно інше, приймає тебе таким який ти є.",0
"До фул хауза бракує національної міліції, національних бригад і національних карабінерів.",0
"Вона пише, що думає, і не париться, що її анфоловлять, коли вона роздає гімна тим, хто його заслужив.",0
Поки всі не почали хейтити  скажу що мені подобається.,0
Хто з вас впізнає цього персонажа? ;),0
Щоб блюванути на холостяка в першій програмі і набрати потім мільйон переглядів на ютубі?..),0
Просто взяв собі з дерева яблуко.,0
ох вже мені ці ваші проблеми з вашими обломами планів Т_Т,0
"От якось їм,і облизуюсь від його смаку)Божественноо",0
"Яка ж я щаслива, що у нас є Черкаси!",0
"Той самой момент, коли реальний корупціонер Мосійчук дає коментарі людяніше і _можливо_ чесніше ніж маладой антикурвапціоньєр Лєщєнко.",0
Лікарі мають виписувати секс замість ліків.,0
"Еля, я тебе люблю, але ти тут надто сувора.",0
"Вже майже забула, які це тортури їхати в ній.",0
"Власне мене постійно ""німєдліна вьійді вон іс класа!""",0
"я посередині, Ната справа, Маша зліва.",0
Курвбль щяс під соточку завалиться ой вей.,0
"Що вже казати про фігуру, якщо хвалю себе, коли з'їдаю лише півкоробки цукерок за раз, а не всю...",0
Ніколи не думала що так полюблю Тві #твіттер_то_є_любов,0
У нас така пішла на іншу кафедру.,0
"в етнодім є чудові чоловічі, особливо чорні і темносині, дарувала - якістю задоволені",0
"Листя перекочувалось від вітру по асфальту, крапав дощ, було вогко і не вже не дуже тепло.",0
"І не тре мені ля-ля про маршрутки, дерева і кровообіг!Гордо!",0
"ооооо, чудова пісня. мабуть найулюбленіша зараз)",0
А то в мене одні п'янки-гулянки останніми днями.,0
Так фігово мені вже давно не було.,0
*я коли читаю твої твіти то уявляю тебе в шапці з великим балабоном. шось тра з цим робить.,0
"Ланцюжки, підвіски і т.д. щоб якісно, красиво і сучасно.",0
Це неможливо) Адже ти вже заблокувала мене,0
"Ще засранцем був, то в Лілеї тусили. :)",0
"Не Лев,а Діва наш відвічний знак, Не гнів,а ніжність наша вічна сила.",0
П'ю гаспачо і відчуваю себе героїнею фільму Альмодовару.,0
"Біжу в рідну гімназію.Спогади!ех,кохання моє шкільне. . .найбомбезнішою парою були. . .",0
"Попри погоду,універ і скривлене обличчя власника Simple замість вітання зі мною,настрій досить життєрадісний.",0
"Чувак праворуч від мене натхненно пише вірш до блокноти, тьолка попереду дує губи та сварить свого мужика ні за що.",0
"Купила собі яблук, вже майже всі з'їла, смачні виявились!",0
"Сміюсь в обличчя тим, хто стверджує, що немає дружби між хлопцем і дівчиною.",0
Через ті крики я скоро гірше захворію.скоро почне око сіпатись,0
"Здається, у колишнього погладшало обличчя АХАХАХА",0
Моя мама - найкраща серед мам.,0
Не вистачає тільки освіжувача повітря із запахом ялинки.,0
Ця розмова між Камерон і Чейзом - один з найулюбленіших моментів Хауса.,0
А ще я тут подумав...скучив за організацією рок-фестів в Козятині.,0
"Зрозуміла, що ніщєброд, коли знайшла 50 гривень в шафі й раділа, як дитина.",0
Мова йшла про команди сусідні ),0
Але каразіна то такий мрак сам по собі.,0
"Момент, коли взнаєш, шо однокласник одружився.",0
Цей вихідний серед тижня вибив мене з колії.,0
На громадський транспорт уже наклеїли оленів і ялини.,0
таня ти сьодні така гарна. на викладачку похожа.,0
Всі оголошення в Хюндаї робляться українською і англійською мовами.,0
Чого ми не можемо дати іздрику нобеля. :(,0
"аммм, як смашно передане.. але замість ретвітити йду на кухню..",0
"хух, виявляється я такий не один... теж люблю на то дивитися))",0
"та. той самий тублєр, там навіть ті баби на тумблєрі лежать)",0
"Якась дівчинка поруч в Маці: -Послідкуйте за речами, я зараз прийду.",0
Щоб у вас на думці не було.,0
"Жостко  Я всього навсього в короткій спідниці вночі в жопі дарницького району  Купа наркоманів, трохи насільніків та тихий ліс)",0
"Ай, ну всьо нафіг, піду обжерусь чимось смачненьким",0
"Всередині прокидається буркотлива бабка, яка хоче цитувати Подерев'янського)",0
А як замужня женщіна кинула то #ойвсьо)),0
"@  2 години як заїхав в Острог - загальна втома, сонливість, регрес психічного стану, різка потреба алкоголю.",0
"Холодно, пальці зменшуються в діаметрі, каблучка спадає.",0
"так я не п'ю її щоб не спати...вона на мене так майже не діє)), а п'ю бо люблю)))",0
Обожнюю коли так (про вічне): - як ти там?,0
"О чуєш,  з днем народження тебе, бро!",0
"там Заноз тобі вже сказав) нє, ясно, шо діло благородне. і тема крута. але мені не по кишені.",0
"Питаю, що вона про це думає, вона: - я не поняла, а ким ти потім будеш?",0
Моя фотка в пабліку про Субару зібрала найбільше лайків.,0
"Я сьогодні така голодна, готова когось з`їсти.",0
З зарплати за вересень дали 700грн.,0
"Аааааа, рєбята, Реал - ПСЖ в 1/8, ну і лігочемпіонівське класіко: Челсі - Барса",0
"Коли бачу як туристи їдять вуличний аджарський хачапурі, серце кров‘ю обливається, то ж таке гееее.",0
я його взагалі не чіпала. і в нас кондиціонер в офісі,0
Батьків та улюблену команду не обирають #fcdk #жизньболь,0
"Люблю, коли я на підсвідомому рівні вільно говорю англійською.",0
ЦЯ ЖЕНЩІНА ЩЕ НЕ В ТАКІ ДЄБРІ ЗАВЕДЕ,0
"Нііііі, я люблю їсти всяку хімічну бяку С:",0
Мажем волоссячко олійками спокійно.А через годину оп- вода крижана.,0
"Ааа, як вони так швидко зникли?",0
"На кожному концерті фронтмен гурту #Бахрома, кожного разу закохує своїм поглядом і бездонно блакитними очима ;)",0
"Головне його не проспати,як я люблю",0
"Всі пороз'їжджалися,  а ми з  лишилися самі на себе.",0
Щороку один залітає в мої кудрі й застряє там )),0
"Не витримала котячих ""шалостєй"" і замочила його.",0
"-ти в рівному?  -так, якраз про тебе сьогодні думала)  -Поїхали десь кататись? -зараз? хештег люблюдаринку",0
RT : [блог]: Твіттер - то є любов! v2.0,0
"відробиш ретвітами постів з блогу, якшо вони будуть :D",0
"Скоро, скоро мій алкоголізм остаточно переможе мою романтичність!",0
Є у женщіни традиція - раз на півроку їсти пельменчики.,0
"RT   збери улюблених твіттерян, зачекінтеся всі десь разом та накорміть справжніх цвіркунів (пташок) ;)",0
ПОПРАВКА - Особисто проїхав Калинівку на трасі Житомир-КиЇв.,0
"Ти, ясна річ, можеш мені це розповідати.	0
Написав твіт від фанаря: +100500 лайків.	0
Сємьончєнко хоче завтра відбити рєдут"" назад.",0
"Почитала стрічку - нині всі про бороди і волохатість щось пишуть, щось в тому є :)",0
"Спочатку Танці з зірками тепеп Хфактор,камон люди,вирубіть той телик або припиніть твітити про це...",0
У мене в стрічці під якимось з останніх твітів.,0
Щойно антивірус новенькому на моб написав: - У вас проблемы!,0
"А наступного дня був кавйор,  і яблуко :D #ifykwim",0
"Не розумію чим я подобаюсь цим мужикам, типа фігури нема, цікава і розумна?",0
" це ж гавнодальдс, та хiма може бути щось приємне?)))",0
", ох,якось одразу згадала про всі свої невдалі рішення за останні кілька років.)Постараюсь і фігурально, і буквально менше падати.)",0
"Але він нормальний, після себе прибере.",0
"Ти не трахнеш дівчину, якщо не можеш підтримати розмову про постмодерну літературу.",0
"Так харить фраза ""Усіх грошей на той світ не візьмеш"".",0
Втикати втіхаря на роботі на фоточки мордочки - мотивує до плідного робочого дня.,0
А я ще декілька років тому не могла сюжет второпати.,0
Ніхто не хоче поштрикати в мене голкою?,0
"У мене в квартирі такий срач, а я сиджу і нию за хлопцем.",0
І я також підсміхуюся у вус,0
І знаєте шо? нафіг таку романтику!,0
Відкриваю набір на курси невербальної комунікації.,0
А в кого це тут шлунок болить?,0
"Правда ж, ?) . . .",0
"У Києві #львівінг - снігу вище коліна, нагрібла повні чоботи.",0
"Англія, бляха, ввалила розладу в Европу.",0
"Дивлюсь ""Как приручить дракона 2"" і розумію, що мультики вже давно роблять не для дітей.",0
Але пересування твоє і так обмеженим буде.,0
"Вулиця Леніна - так, це проблема.",0
Мабуть треба до них з дитинства звикнути:) хоча я і банани не люблю,0
"Подивилася на верх і така жуючи: ага, ну блін, мені тут вже нра (нє).",0
"Не обіцяй,не треба.Залежить час найближчий,та не завжди від тебе.",0
"цікаво, якби був подібний сервіс, зроблений в Україні, чи міністр закордонний справ записав би для нього відео?",0
ножиці в руки - і проблема рішається,0
"не обіцяю, хоча спеціально на такі випадки завів професійний бложик  //",0
"Міські домашні улюбленці постійно їхали на село, тому вони дауншифтери ще до тренду.",0
"Бо я зранку казав купити туалетний папір, а ти не почула!",0
Ну і в мене одна з найкращих подруг - близнюк.,0
"Всіх люблять, всіх обнімають, дуже чемні, виховані і пишуть літературною українською",0
"вишні, огірочки, спаржа, морква, мій улюблений базилік і багато зеленушки)))) #yiiiiiiiiii",0
"Були на спектаклі по мотивах класичної трагедії Софокла ""Цар Едіп"".",0
"Горотдьські, харош вітписуватьця!Ви чо?Страх божий потірали?",0
"Like listen Linda, прийми комплімент і закрийся.",0
Треба заново вчитися їздити на велосипеді.,0
"Ну ось в моїй роботі є і улюблені моменти,які приносять задоволення.",0
Я вділа улюблену косуху і мені в Ніцше харааааашооо,0
а я з Литвиновою люблю їх в'ю.,0
"Ставь ліжко там, де спить кіт.",0
Святково тут) (@ Управління СБУ у Львівській обл.) http://4,0
